ZIP,date,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,stay_home_ratio,ave_new7_10after
90026,2020/3/21,1,0,1398,26805,600,549,42,93,69589,16466,1.44E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.33,2.25
90033,2020/3/21,5,0,1171,7067,528,616,22,97,47583,14564,0.00010508,0,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.21780303,0.75
90034,2020/3/21,6,3,1475,8221,689,546,6,99,55652,17888,0.000107813,5.39E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.140783745,4.75
90035,2020/3/21,4,3,530,51440,293,428,2,100,28085,13646,0.000142425,0.000106819,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,1.80887372,2.25
90036,2020/3/21,5,0,1160,11946,588,494,8,98,37988,15373,0.000131621,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,1.972789116,1.25
90039,2020/3/21,3,2,569,8304,260,630,8,99,29589,7848,0.000101389,6.76E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.188461538,2.25
90041,2020/3/21,1,0,812,14434,394,627,38,94,29516,8176,3.39E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.060913706,1.5
90043,2020/3/21,2,1,1410,17414,620,533,22,96,44627,10795,4.48E-05,2.24E-05,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.274193548,3.25
90044,2020/3/21,1,0,2690,6139,1222,576,11,98,96436,18772,1.04E-05,0,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.201309329,0.75
90045,2020/3/21,3,0,1161,119943,497,495,112,82,41149,3836,7.29E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.336016097,2.25
90046,2020/3/21,12,5,1193,12478,557,440,25,95,50587,8750,0.000237215,9.88E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.141831239,7.75
90049,2020/3/21,18,2,1006,8104,502,568,12,98,36964,2460,0.00048696,5.41E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.003984064,1.5
90061,2020/3/21,1,0,832,6750,361,511,17,97,27646,10385,3.62E-05,0,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.304709141,1.75
90066,2020/3/21,6,2,1220,14814,583,596,14,98,59394,12064,0.00010102,3.37E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.092624357,3
90068,2020/3/21,2,0,601,21545,268,493,17,97,20982,2754,9.53E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.242537313,4.75
90069,2020/3/21,18,3,525,11588,226,352,13,96,20435,9666,0.000880842,0.000146807,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.32300885,3.5
90094,2020/3/21,2,1,237,2799,113,413,6,99,9368,15332,0.000213493,0.000106746,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.097345133,0.5
90210,2020/3/21,7,2,1088,741158,459,343,67,84,19909,1966,0.0003516,0.000100457,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.37037037,5
90230,2020/3/21,4,0,915,7843,439,674,5,99,32808,7277,0.000121921,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.08428246,2.25
90245,2020/3/21,2,1,671,14681,302,487,26,95,16850,3084,0.000118694,5.93E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.221854305,0
90247,2020/3/21,1,0,1300,5915,572,567,15,97,47531,12661,2.10E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.272727273,1.75
90250,2020/3/21,2,0,2877,5945,1394,622,7,99,96836,14463,2.07E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.06384505,3.25
90262,2020/3/21,1,0,1767,5618,751,612,12,98,70936,14677,1.41E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.35286285,2.5
90265,2020/3/21,3,1,619,41768,225,496,131,79,18389,170,0.000163141,5.44E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.751111111,0
90266,2020/3/21,7,1,1114,42017,555,533,1,100,35573,9037,0.000196778,2.81E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.007207207,4.5
90272,2020/3/21,7,1,745,4310,402,557,5,99,22551,987,0.000310408,4.43E-05,3,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,1.853233831,3.25
90275,2020/3/21,1,0,1526,7017,806,828,3,100,42421,3138,2.36E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,1.893300248,2.5
90278,2020/3/21,2,1,1334,3328,686,612,5,99,40649,11281,4.92E-05,2.46E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,1.944606414,4
90291,2020/3/21,6,2,517,29060,195,491,27,95,27525,11018,0.000217984,7.27E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.651282051,1.75
90403,2020/3/21,5,1,478,5599,212,375,19,95,24354,17054,0.000205305,4.11E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.254716981,5.25
90503,2020/3/21,2,0,1731,5692,888,863,3,100,44908,8478,4.45E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,1.949324324,8
90602,2020/3/21,2,0,813,6789,333,604,24,96,25981,7001,7.70E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.441441441,2
90604,2020/3/21,1,0,1642,4511,843,874,5,99,42063,9871,2.38E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,1.947805457,1.25
90638,2020/3/21,3,0,2227,11071,991,681,41,94,49383,6275,6.07E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.247225025,0.75
90640,2020/3/21,1,1,1958,4857,957,764,8,99,63177,7440,1.58E-05,1.58E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.045977011,0.75
90703,2020/3/21,1,1,2161,4140,1177,776,2,100,50963,5806,1.96E-05,1.96E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,1.836023789,1.25
90713,2020/3/21,1,0,1140,3382,548,760,5,99,29061,8562,3.44E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.080291971,2
90717,2020/3/21,7,2,671,3278,329,649,5,99,21696,10957,0.00032264,9.22E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.039513678,0.25
90731,2020/3/21,1,0,1717,5291,741,627,27,96,61850,6717,1.62E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.317139001,1.5
90746,2020/3/21,3,0,835,5599,367,452,26,95,26996,4628,0.000111128,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.27520436,4.5
