ZIP,week,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,stay_home_ratio,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,week3
90014,2020/4/19,31,4,204,5160,83,330,38,89,8335,29452,0.003719256,0.000479904,1,0.406862745,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,22
90014,2020/4/26,51,20,245,6239,93,231,34,87,8335,29452,0.006118775999999999,0.00239952,1,0.379591837,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,14
90014,2020/5/3,73,22,235,6777,99,226,26,89,8335,29452,0.008758248,0.002639472,1,0.421276596,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,10
90014,2020/5/10,87,14,240,5448,104,286,10,96,8335,29452,0.010437912,0.001679664,1,0.433333333,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,28
90016,2020/3/29,3,7,1201,5367,498,768,24,96,46581,12842,6.440000000000001e-05,0.00015030000000000002,1,0.414654455,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,13
90016,2020/4/12,34,13,1221,5539,591,847,9,98,46581,12842,0.0007299110000000001,0.000279076,1,0.484029484,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,57
90016,2020/4/19,58,26,1145,7272,538,919,13,98,46581,12842,0.001245143,0.00055812,1,0.469868996,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,25
90016,2020/4/26,115,57,1222,5804,519,841,15,98,46581,12842,0.002468818,0.001223664,1,0.424713584,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,20
90016,2020/5/3,140,25,1207,8017,536,798,13,98,46581,12842,0.003005517,0.0005366559999999999,1,0.444076222,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,19
90016,2020/5/10,160,20,1280,5654,533,768,19,97,46581,12842,0.003434877,0.000429248,1,0.41640625,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,20
90018,2020/3/22,1,3,1220,5608,523,635,25,96,53256,18389,1.88e-05,5.64e-05,1,0.428688525,58.0,37.0,55.0,-35.0,-3.0,-28.0,-39.0,-33.0,16.0,29
