ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90266,2020/5/10 - 2020/5/16,1.5965401,0.448807
90266,2020/5/17 - 2020/5/23,3.571156,1.0039
90270,2020/4/12 - 2020/4/18,6.277827,2.28667
90270,2020/4/19 - 2020/4/25,6.624729,2.41303
90270,2020/4/26 - 2020/5/2,18.774836,6.83865
90270,2020/5/3 - 2020/5/9,13.176821,4.7996
90270,2020/5/10 - 2020/5/16,11.559035,4.21033
90270,2020/5/17 - 2020/5/23,13.322244,4.85257
90272,2020/4/5 - 2020/4/11,13.554413,6.01056
90272,2020/4/12 - 2020/4/18,3.282518,1.4556
90272,2020/4/19 - 2020/4/25,0.12758964,0.0565783
90272,2020/4/26 - 2020/5/2,1.7137613,0.759949
90272,2020/5/3 - 2020/5/9,0.46154588,0.204668
90272,2020/5/10 - 2020/5/16,-0.24397431,-0.108188
90272,2020/5/17 - 2020/5/23,1.0126499,0.449049
90274,2020/4/12 - 2020/4/18,3.875392,1.53305
90274,2020/4/19 - 2020/4/25,4.6658096,1.84573
90274,2020/4/26 - 2020/5/2,5.8882594,2.32931
90274,2020/5/3 - 2020/5/9,0.044180293,0.0174771
90274,2020/5/10 - 2020/5/16,-0.5007986,-0.198109
90274,2020/5/17 - 2020/5/23,1.5905567,0.629201
90275,2020/4/5 - 2020/4/11,15.652155,3.68972
90275,2020/4/12 - 2020/4/18,11.705065,2.75926
90275,2020/4/19 - 2020/4/25,10.719486,2.52693
90275,2020/4/26 - 2020/5/2,21.977766,5.18087
90275,2020/5/3 - 2020/5/9,11.875659,2.79948
90275,2020/5/10 - 2020/5/16,9.749265,2.29822
90275,2020/5/17 - 2020/5/23,14.30584,3.37235
90278,2020/4/5 - 2020/4/11,20.336544,5.00296
90278,2020/4/12 - 2020/4/18,18.68524,4.59673
90278,2020/4/19 - 2020/4/25,14.171501,3.48631
90278,2020/4/26 - 2020/5/2,17.95282,4.41655
90278,2020/5/3 - 2020/5/9,9.565618,2.35322
90278,2020/5/10 - 2020/5/16,7.970514,1.96081
90278,2020/5/17 - 2020/5/23,7.2015333,1.77164
90280,2020/4/5 - 2020/4/11,17.620289,1.85276
90280,2020/4/12 - 2020/4/18,31.619236,3.32474
90280,2020/4/19 - 2020/4/25,37.217575,3.9134
90280,2020/4/26 - 2020/5/2,66.13463,6.954
90280,2020/5/3 - 2020/5/9,64.90716,6.82493
90280,2020/5/10 - 2020/5/16,53.095318,5.58293
90280,2020/5/17 - 2020/5/23,41.218094,4.33405
90291,2020/4/5 - 2020/4/11,19.213099,6.98024
90291,2020/4/12 - 2020/4/18,4.5770082,1.66285
90291,2020/4/19 - 2020/4/25,0.45096076,0.163837
90291,2020/4/26 - 2020/5/2,8.367819,3.04008
90291,2020/5/3 - 2020/5/9,5.8310013,2.11844
90291,2020/5/10 - 2020/5/16,3.4705706,1.26088
