ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90210,2020/5/10 - 2020/5/16,11.725434,5.88951
90210,2020/5/17 - 2020/5/23,8.364722,4.20148
90220,2020/4/12 - 2020/4/18,18.444504,3.43454
90220,2020/4/19 - 2020/4/25,22.131866,4.12116
90220,2020/4/26 - 2020/5/2,46.705082,8.69692
90220,2020/5/3 - 2020/5/9,54.655315,10.17733
90220,2020/5/10 - 2020/5/16,47.5867,8.86109
90220,2020/5/17 - 2020/5/23,37.989468,7.07399
90221,2020/4/19 - 2020/4/25,1.7024801,0.325385
90221,2020/4/26 - 2020/5/2,14.349005,2.74244
90221,2020/5/3 - 2020/5/9,5.209281,0.99562
90221,2020/5/10 - 2020/5/16,4.5504746,0.869706
90221,2020/5/17 - 2020/5/23,1.9118307,0.365397
90222,2020/4/19 - 2020/4/25,4.0410237,1.23014
90222,2020/4/26 - 2020/5/2,15.796479,4.80867
90222,2020/5/3 - 2020/5/9,5.57492,1.69708
90222,2020/5/10 - 2020/5/16,3.1520562,0.95953
90222,2020/5/17 - 2020/5/23,1.2304511,0.374567
90230,2020/4/5 - 2020/4/11,21.02994,6.41
90230,2020/4/12 - 2020/4/18,9.116497,2.77874
90230,2020/4/19 - 2020/4/25,2.4915407,0.759431
90230,2020/4/26 - 2020/5/2,8.157814,2.48653
90230,2020/5/3 - 2020/5/9,5.8207445,1.77418
90230,2020/5/10 - 2020/5/16,4.1496706,1.26483
90230,2020/5/17 - 2020/5/23,11.023231,3.35992
90241,2020/4/12 - 2020/4/18,26.248663,5.94628
90241,2020/4/19 - 2020/4/25,25.070473,5.67938
90241,2020/4/26 - 2020/5/2,42.271523,9.57604
90241,2020/5/3 - 2020/5/9,40.73892,9.22885
90241,2020/5/10 - 2020/5/16,40.69468,9.21883
90241,2020/5/17 - 2020/5/23,32.859184,7.4438
90245,2020/4/5 - 2020/4/11,16.999554,10.08876
90245,2020/4/12 - 2020/4/18,4.8987446,2.90727
90245,2020/4/19 - 2020/4/25,1.0511715,0.623841
90245,2020/4/26 - 2020/5/2,7.713882,4.57797
90245,2020/5/3 - 2020/5/9,4.3055744,2.55524
90245,2020/5/10 - 2020/5/16,2.8804207,1.70945
90245,2020/5/17 - 2020/5/23,1.7974257,1.06672
90247,2020/4/5 - 2020/4/11,23.925703,5.0337
90247,2020/4/12 - 2020/4/18,14.75726,3.10477
90247,2020/4/19 - 2020/4/25,21.48158,4.51949
90247,2020/4/26 - 2020/5/2,42.145092,8.86686
90247,2020/5/3 - 2020/5/9,25.675594,5.40186
90247,2020/5/10 - 2020/5/16,23.113152,4.86275
90247,2020/5/17 - 2020/5/23,13.791045,2.90148
90248,2020/4/12 - 2020/4/18,5.8512,5.0827
90248,2020/4/19 - 2020/4/25,5.336342,4.63546
90248,2020/4/26 - 2020/5/2,11.113619,9.65394
90248,2020/5/3 - 2020/5/9,7.6501575,6.64538
90248,2020/5/10 - 2020/5/16,7.507113,6.52112
90248,2020/5/17 - 2020/5/23,5.6530623,4.91058
90249,2020/4/19 - 2020/4/25,-1.4269294,-0.536702
90249,2020/4/26 - 2020/5/2,4.96152,1.86615
90249,2020/5/3 - 2020/5/9,0.74929667,0.281828
90249,2020/5/10 - 2020/5/16,1.1353089,0.427017
90249,2020/5/17 - 2020/5/23,0.30327713,0.11407
90250,2020/4/5 - 2020/4/11,25.039072,2.58572
90250,2020/4/12 - 2020/4/18,21.974213,2.26922
90250,2020/4/19 - 2020/4/25,24.494608,2.52949
90250,2020/4/26 - 2020/5/2,53.45241,5.51989
90250,2020/5/3 - 2020/5/9,48.10774,4.96796
90250,2020/5/10 - 2020/5/16,48.033348,4.96028
90250,2020/5/17 - 2020/5/23,34.356064,3.54786
90254,2020/4/12 - 2020/4/18,3.1818225,1.61925
90254,2020/4/19 - 2020/4/25,-0.5260552,-0.267713
90254,2020/4/26 - 2020/5/2,3.434766,1.74797
90254,2020/5/3 - 2020/5/9,1.2188423,0.620276
90254,2020/5/10 - 2020/5/16,-1.2535304,-0.637929
90254,2020/5/17 - 2020/5/23,0.33207452,0.168995
90255,2020/4/12 - 2020/4/18,22.39798,2.96426
90255,2020/4/19 - 2020/4/25,28.145533,3.72492
90255,2020/4/26 - 2020/5/2,52.497105,6.94774
90255,2020/5/3 - 2020/5/9,55.34432,7.32455
